Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount
Computacenter,ORDER,2023-04-27T13:03:56.686Z,GBP,45.91,BUY,CCC,GB00BV9FP302,22.84000000,0.23,2.00000000,London Stock Exchange,UV40OP3P8HC2,MARKET,GBP,45.68,22.84000000,,,0,,,,,,,,,
Top up,TOP_UP,2023-04-27T13:03:21.530Z,GBP,100.00,,,,,,,,,,,,,,,,,,,,,,,,
Close Brothers Group,DIVIDEND,2023-04-26T12:30:00.000Z,GBP,1.12,,CBG,GB0007668071,,,5.00000000,,,,GBP,,,,,,,2023-03-23,2023-04-26,5.00000000,0.22500000,,,0,0.00
WHSmiths,ORDER,2023-04-26T12:00:15.977Z,GBP,46.28,BUY,SMWH,GB00B2PDGW16,15.35000000,0.23,3.00000000,London Stock Exchange,ZZNOQJ3RZA94,MARKET,GBP,46.05,15.35000000,,,0,,,,,,,,,
Pod Point ,ORDER,2023-04-24T08:21:15.941Z,GBP,62.27,SELL,PODP,GB00BNDRD100,0.94348485,0.00,66.00000000,London Stock Exchange,UY7PKTV4D56M,MARKET,GBP,62.27,0.94348485,,,0,,,,,,,,,
Assura,PROPERTY,2023-04-12T16:28:00.000Z,GBP,0.54,,AGR,GB00BVGBWW93,,,88.00000000,,,,GBP,,,,,,,2023-03-09,2023-04-12,88.00000000,0.00780000,,,20,0.14
Dunelm Group,DIVIDEND,2023-04-11T17:51:00.000Z,GBP,0.60,,DNLM,GB00B1CKQ739,,,4.00000000,,,,GBP,,,,,,,2023-03-16,2023-04-11,4.00000000,0.15000000,,,0,0.00
Dunelm Group,DIVIDEND,2023-04-11T16:50:00.000Z,GBP,1.60,,DNLM,GB00B1CKQ739,,,4.00000000,,,,GBP,,,,,,,2023-03-16,2023-04-11,4.00000000,0.40000000,,,0,0.00
Redrow,DIVIDEND,2023-04-06T11:20:00.000Z,GBP,0.70,,RDW,GB00BG11K365,,,7.00000000,,,,GBP,,,,,,,2023-02-23,2023-04-06,7.00000000,0.10000000,,,0,0.00
Pennon Group,DIVIDEND,2023-04-05T14:10:00.000Z,GBP,0.25,,PNN,GB00BNNTLN49,,,2.00000000,,,,GBP,,,,,,,2023-01-26,2023-04-05,2.00000000,0.12960000,,,0,0.00
Nordea Bank,DIVIDEND,2023-04-03T07:25:00.000Z,GBP,0.45,,NDAh,FI4000297767,,,1.00000000,,,,EUR,,,,0.87278694,0,0.00,2023-03-24,2023-04-03,1.00000000,0.80000000,0.80,0.52,35,0.28
March Statement,MONTHLY_STATEMENT,2023-04-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables Infrastructure,DIVIDEND,2023-03-31T11:05:00.000Z,GBP,0.25,,TRIG,GG00BBHX2H91,,,15.00000000,,,,GBP,,,,,,,2023-02-09,2023-03-31,15.00000000,0.01710000,,,0,0.00
UK Dividend,DIVIDEND,2023-03-29T21:06:00.000Z,GBP,0.06,,IUKD,IE00B0M63060,,,2.00000000,,,,GBP,,,,,,,2023-03-16,2023-03-29,2.00000000,0.03020000,,,0,0.00
FTSE EM,DIVIDEND,2023-03-29T14:37:00.000Z,GBP,0.14,,VFEM,IE00B3VVMM84,,,1.00000000,,,,USD,,,,0.81095502,0,0.00,2023-03-16,2023-03-29,1.00000000,0.17429200,0.17,0.17,0,0.00
Harmony Energy,ORDER,2023-03-17T12:33:20.030Z,GBP,51.96,BUY,HEIT,GB00BLNNFY18,1.17500000,0.26,44.00000000,London Stock Exchange,40CD9GIE2F3Q,MARKET,GBP,51.70,1.17500000,,,0,,,,,,,,,
Ashtead,ORDER,2023-03-17T12:32:54.559Z,GBP,49.72,BUY,AHT,GB0000536739,49.47000000,0.25,1.00000000,London Stock Exchange,8M3H01DNLR88,MARKET,GBP,49.47,49.47000000,,,0,,,,,,,,,
Top up,TOP_UP,2023-03-17T12:31:34.826Z,GBP,100.00,,,,,,,,,,,,,,,,,,,,,,,,
Legal & General,ORDER,2023-03-17T12:28:55.040Z,GBP,55.36,BUY,LGEN,GB0005603997,2.29500000,0.28,24.00000000,London Stock Exchange,92PZTKRZE3W4,MARKET,GBP,55.08,2.29500000,,,0,,,,,,,,,
AB Dynamics,ORDER,2023-03-15T12:01:35.867Z,GBP,48.90,BUY,ABDP,GB00B9GQVG73,16.30000000,0.00,3.00000000,London Stock Exchange - Aim MTF,ND65CYCCUE2Z,MARKET,GBP,48.90,16.30000000,,,0,,,,,,,,,
Accesso Technology,ORDER,2023-03-15T12:00:54.535Z,GBP,56.47,BUY,ACSO,GB0001771426,7.05875000,0.00,8.00000000,London Stock Exchange - Aim MTF,L1XMSZDHMBN5,MARKET,GBP,56.47,7.05875000,,,0,,,,,,,,,
Sirius Real Estate,ORDER,2023-03-15T08:42:56.024Z,GBP,49.71,BUY,SRE,GG00B1W3VF54,0.78904762,0.00,63.00000000,London Stock Exchange,K51R7IT14D8S,MARKET,GBP,49.71,0.78904762,,,0,,,,,,,,,
BAE Systems,ORDER,2023-03-09T12:22:57.916Z,GBP,64.99,SELL,BA.,GB0002634946,9.28428571,0.00,7.00000000,London Stock Exchange,QRDWVZF0KFZM,MARKET,GBP,64.99,9.28428571,,,0,,,,,,,,,
February Statement,MONTHLY_STATEMENT,2023-03-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearson,ORDER,2023-02-27T14:18:21.654Z,GBP,46.41,BUY,PSON,GB0006776081,9.23600000,0.23,5.00000000,London Stock Exchange,FGSFH0CX5NBP,MARKET,GBP,46.18,9.23600000,,,0,,,,,,,,,
Grainger,ORDER,2023-02-27T14:16:54.981Z,GBP,47.50,BUY,GRI,GB00B04V1276,2.48736842,0.24,19.00000000,London Stock Exchange,UV7ATXTGLVTL,MARKET,GBP,47.26,2.48736842,,,0,,,,,,,,,
Greggs,ORDER,2023-02-27T14:15:59.594Z,GBP,53.87,BUY,GRG,GB00B63QSB39,26.80000000,0.27,2.00000000,London Stock Exchange,9CP38UQMRX8D,MARKET,GBP,53.60,26.80000000,,,0,,,,,,,,,
Foresight Solar,DIVIDEND,2023-02-24T21:15:00.000Z,GBP,0.24,,FSFL,JE00BD3QJR55,,,14.00000000,,,,GBP,,,,,,,2023-01-26,2023-02-24,14.00000000,0.01780000,,,0,0.00
Greencoat UK,DIVIDEND,2023-02-24T12:43:00.000Z,GBP,0.25,,UKW,GB00B8SC6K54,,,13.00000000,,,,GBP,,,,,,,2023-02-09,2023-02-24,13.00000000,0.01930000,,,0,0.00
Infineon Tech,DIVIDEND,2023-02-21T10:50:00.000Z,GBP,0.20,,IFXd,DE0006231004,,,1.00000000,,,,EUR,,,,0.88100037,0,0.00,2023-02-17,2023-02-21,1.00000000,0.32000000,0.32,0.23,26,0.09
Synthomer,ORDER,2023-02-15T08:36:52.055Z,GBP,48.57,BUY,SYNT,GB0009887422,1.55903226,0.24,31.00000000,London Stock Exchange,AACQCRDGPT5G,MARKET,GBP,48.33,1.55903226,,,,,,,,,,,,
Close Brothers Group,ORDER,2023-02-10T09:02:19.735Z,GBP,51.20,BUY,CBG,GB0007668071,10.19000000,0.25,5.00000000,London Stock Exchange,U4DJU33SN83D,MARKET,GBP,50.95,10.19000000,,,,,,,,,,,,
B&M Retail Value,SPECIAL_DIVIDEND,2023-02-03T20:33:00.000Z,GBP,1.53,,BME,LU1072616219,,,9.00000000,,,,GBP,,,,,,,2023-01-12,2023-02-03,9.00000000,0.20000000,,,15,0.27
Dr. Martens,DIVIDEND,2023-02-03T13:58:00.000Z,GBP,0.10,,DOCS,GB00BL6NGV24,,,7.00000000,,,,GBP,,,,,,,2023-01-05,2023-02-03,7.00000000,0.01560000,,,0,0.00
Spire Healthcare,ORDER,2023-02-03T09:00:52.328Z,GBP,49.41,BUY,SPI,GB00BNLPYF73,2.45800000,0.25,20.00000000,London Stock Exchange,URPMT685LLN3,MARKET,GBP,49.16,2.45800000,,,,,,,,,,,,
Antofagasta,ORDER,2023-02-03T09:00:19.781Z,GBP,51.81,BUY,ANTO,GB0000456144,17.18333333,0.26,3.00000000,London Stock Exchange,IU88ZJ3RCL75,MARKET,GBP,51.55,17.18333333,,,,,,,,,,,,
Assura,ORDER,2023-02-03T08:58:30.504Z,GBP,49.74,BUY,AGR,GB00BVGBWW93,0.56238636,0.25,88.00000000,London Stock Exchange,XDNB3T2Z1PDM,MARKET,GBP,49.49,0.56238636,,,,,,,,,,,,
Sirius Real Estate,ORDER,2023-02-03T08:55:29.804Z,GBP,62.14,SELL,SRE,GG00B1W3VF54,0.88771429,0.00,70.00000000,London Stock Exchange,I2SAQY45GXJE,MARKET,GBP,62.14,0.88771429,,,,,,,,,,,,
January Statement,MONTHLY_STATEMENT,2023-02-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotdigital,DIVIDEND,2023-01-31T17:49:00.000Z,GBP,0.12,,DOTD,GB00B3W40C23,,,13.00000000,,,,GBP,,,,,,,2023-01-12,2023-01-31,13.00000000,0.00980000,,,0,0.00
DS Smith,DIVIDEND,2023-01-31T16:11:00.000Z,GBP,0.72,,SMDS,GB0008220112,,,12.00000000,,,,GBP,,,,,,,2022-12-15,2023-01-31,12.00000000,0.06000000,,,0,0.00
